drawing_no,title,car_code,system_code,drawing_type,sheet_count,current_alt,current_revision,drawing_date,drwn_by,chkd_by,revd_by,appd_by,status,notes
942-58099,Drawing List - KMRCL RS3R VCC,DMC,GEN,DRAWING_LIST,1,,,,,,,active,Master drawing index
942-58100,Classification,DMC,GEN,CLASSIFICATION,1,,,,,,,active,
942-58101,Wiring Numbers and Description,DMC,GEN,WIRING_NUMBER_DEF,1,,,,,,,active,Wire number grammar definition
942-58102,Symbols,DMC,GEN,SYMBOL_LIBRARY,1,,,,,,,active,IEC-style symbol library
942-58103,Train Lines Control,DMC,TRL,SCHEMATIC,1,,,,,,,active,Trainline control signals
942-58104,Train Lines Signal,DMC,TRL,SCHEMATIC,1,,,,,,,active,Trainline signal wires
942-58105,Low Tension Power Train Line,DMC,TRL,SCHEMATIC,1,,,,,,,active,110VDC trainline
942-58106,High Tension Power Train Line,DMC,TRL,SCHEMATIC,1,,,,,,,active,750VDC/415VAC trainline
942-58107,Controlling Cab,DMC,CAB,SCHEMATIC,1,,,,,,,active,
942-58108,Start-up Relay,DMC,CAB,SCHEMATIC,1,,,,,,,active,
942-58109,System Status Indication,DMC,CAB,SCHEMATIC,1,,,,,,,active,
942-58110,MCB Trip Status,DMC,CAB,SCHEMATIC,1,,,,,,,active,
942-58111,DC Train Line Supply Contactor,DMC,CAB,SCHEMATIC,1,,,,,,,active,
942-58112,Head Cab Main Light,DMC,LIGHT,SCHEMATIC,1,,,,,,,active,
942-58113,Tail Light/Door Open Console Light,DMC,LIGHT,SCHEMATIC,1,,,,,,,active,
942-58114,Interior Light,DMC,LIGHT,SCHEMATIC,1,,,,,,,active,
942-58115,Wiper Control,DMC,LIGHT,SCHEMATIC,1,,,,,,,active,
942-58116,Head Cab Main Light,DMC,LIGHT,SCHEMATIC,1,,,,,,,active,
942-58117,Coupling and Uncoupling Control,DMC,COUPL,SCHEMATIC,1,,,,,,,active,
942-58119,Speed Control,DMC,TRAC,SCHEMATIC,1,,,,,,,active,Traction speed command logic
942-58120,VVVF Control,DMC,TRAC,SCHEMATIC,1,,,,,,,active,VVVF inverter interface
942-58121,Traction Return Current,DMC,TRAC,SCHEMATIC,1,,,,,,,active,
942-58123,Compressor Control,DMC,BRAKE,SCHEMATIC,1,,,,,,,active,
942-58124,Brake Loop,DMC,BRAKE,SCHEMATIC,1,,,,,,,active,
942-58125,Emergency Brake,DMC,BRAKE,SCHEMATIC,1,,,,,,,active,
942-58126,Parking Brake,DMC,BRAKE,SCHEMATIC,1,,,,,,,active,
942-58127,Horn,DMC,BRAKE,SCHEMATIC,1,,,,,,,active,
942-58128,Brake Control - DMC/MC,DMC,BRAKE,SCHEMATIC,1,,,,,,,active,
942-58129,Brake Control - TC,TC,BRAKE,SCHEMATIC,1,,,,,,,active,
942-58130,APS - Auxiliary Power Supply,TC,APS,SCHEMATIC,1,,,,,,,active,
942-58131,AC 415V Shore Supply,TC,APS,SCHEMATIC,1,,,,,,,active,
942-58132,Battery Control,TC,APS,SCHEMATIC,1,,,,,,,active,
942-58137,Saloon Door Supply Voltage,MC,DOOR,SCHEMATIC,1,,,,,,,active,
942-58138,Left Door Operation,MC,DOOR,SCHEMATIC,1,,,,,,,active,
942-58139,Right Door Operation,MC,DOOR,SCHEMATIC,1,,,,,,,active,
942-58140,Door Proving Loop,MC,DOOR,SCHEMATIC,1,,,,,,,active,
942-58141,Local Door Interlock,MC,DOOR,SCHEMATIC,1,,,,,,,active,
942-58142,Door Communication with TMS,MC,DOOR,SCHEMATIC,1,,,,,,,active,
942-58143,Cab VAC - Air Conditioning,CAB,VAC,SCHEMATIC,1,,,,,,,active,
942-58144,Saloon VAC Power,MC,VAC,SCHEMATIC,1,,,,,,,active,
942-58145,Saloon VAC Control,MC,VAC,SCHEMATIC,1,,,,,,,active,
942-58146,TMS Interface 1 to 4,MC,TMS,SCHEMATIC,1,,,,,,,active,
942-58147,PIS/TIS - Passenger Information System,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-58148,PIS/TIS - Passenger Information System Sheet 2,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-58149,DVAS/PA - Digital Voice Announcement System,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-58150,PA Amplifier,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-58151,PA Amplifier Sheet 2,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-58152,CBTC - Communication Based Train Control,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-58153,Train Radio Interface,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-58154,CCTV - Closed Circuit Television,MC,COMMS,SCHEMATIC,1,,,,,,,active,
942-38104,Operating Panel Pin Assignment,CAB,CAB,PIN_ASSIGNMENT,2,0,0,2018-02-16,SUSHILA PATIL,SARANYA V,SADHASIVAM M,KC SHASHIKANTH,active,Cab desk TB wire mappings
942-38105,MCB Panel Pin Assignment,CAB,CAB,PIN_ASSIGNMENT,1,,,,,,,active,
942-38117,Cab VAC Pin Assignment,CAB,VAC,PIN_ASSIGNMENT,1,,,,,,,active,
942-38305,LTEB Pin Assignment - DMC,DMC,LTEB,PIN_ASSIGNMENT,2,0,0,2018-02-21,SUSHILA PATIL,SARANYA V,SADHASIVAM M,KC SHASHIKANTH,active,
942-38306,VVVF Inverter Pin Assignment - DMC,DMC,TRAC,PIN_ASSIGNMENT,2,3,3,2018-03-08,V SARANYA,V SARANYA,,KCS,active,
942-38307,Collector Shoe Junction Box Pin Assignment - DMC,DMC,HV,PIN_ASSIGNMENT,1,,,,,,,active,
942-38308,Stinger Box Pin Assignment - DMC,DMC,HV,PIN_ASSIGNMENT,1,,,,,,,active,
942-38309,Pressure Switch Box Pin Assignment - DMC,DMC,BRAKE,PIN_ASSIGNMENT,1,,,,,,,active,
942-38310,BCU Pin Assignment - DM Car,DMC,BRAKE,PIN_ASSIGNMENT,1,,,,,,,active,
942-38311,ASCOS EPIC SR Pin Assignment - DMC,DMC,BRAKE,PIN_ASSIGNMENT,1,,,,,,,active,
942-38312,LTJB Pin Assignment - DM Car,DMC,LTJB,PIN_ASSIGNMENT,3,,,,,,,active,
942-38313,Filter Reactor Pin Assignment - DMC,DMC,TRAC,PIN_ASSIGNMENT,1,,,,,,,active,
942-38314,Speed Sensor Connector Pin Assignment - DM Car,DMC,TRAC,PIN_ASSIGNMENT,1,,,,,,,active,
942-38315,Brake Resistor Pin Assignment - DMC,DMC,TRAC,PIN_ASSIGNMENT,1,,,,,,,active,
942-38316,Main Switch Box Pin Assignment - DMC,DMC,HV,PIN_ASSIGNMENT,1,,,,,,,active,
942-38317,Current Collector Fuse Box Pin Assignment - DMC,DMC,HV,PIN_ASSIGNMENT,1,,,,,,,active,
942-38319,HSCB Pin Assignment - DMC,DMC,HV,PIN_ASSIGNMENT,1,,,,,,,active,
942-38320,TM Connector Pin Assignment - DMC,DMC,TRAC,PIN_ASSIGNMENT,1,,,,,,,active,
942-38321,Earth Brush Pin Assignment - DMC,DMC,HV,PIN_ASSIGNMENT,1,,,,,,,active,
942-38322,Anti Skid Valve Auto Coupler Pin Assignment - DMC,DMC,BRAKE,PIN_ASSIGNMENT,1,,,,,,,active,
942-38323,HTEB HTJB Pin Assignment - DMC,DMC,HV,PIN_ASSIGNMENT,1,,,,,,,active,
942-38402,EDB Panel Pin Assignment - TC,TC,EDB,PIN_ASSIGNMENT,1,,,,,,,active,
942-38403,Passenger Door Pin Assignment - TC,TC,DOOR,PIN_ASSIGNMENT,1,,,,,,,active,
942-38404,Saloon Lights Pin Assignment - TC,TC,LIGHT,PIN_ASSIGNMENT,1,,,,,,,active,
